Date,Close,Volume,DayOfWeek,Month
2022-03-22 16:00:00,356.96,63345928,1,3
2022-03-23 16:00:00,351.83,70615457,2,3
2022-03-24 16:00:00,359.65,53555251,3,3
2022-03-25 16:00:00,359.35,57584158,4,3
2022-03-28 16:00:00,364.91,56833866,0,3
2022-03-29 16:00:00,371.19,68072955,1,3
2022-03-30 16:00:00,367.09,68757710,2,3
2022-03-31 16:00:00,362.54,67011405,3,3
2022-04-01 16:00:00,361.85,54527761,4,4
2022-04-04 16:00:00,369.3,45950171,0,4
2022-04-05 16:00:00,361.1,62738661,1,4
2022-04-06 16:00:00,353.26,90077072,2,4
2022-04-07 16:00:00,354.1,63777373,3,4
2022-04-08 16:00:00,349.15,61956094,4,4
2022-04-11 16:00:00,340.89,66107401,0,4
2022-04-12 16:00:00,339.45,72790215,1,4
2022-04-13 16:00:00,346.35,61367755,2,4
2022-04-14 16:00:00,338.43,73519367,3,4
2022-04-18 16:00:00,338.69,58560555,0,4
2022-04-19 16:00:00,346.26,56515684,1,4
2022-04-20 16:00:00,341.21,65500022,2,4
2022-04-21 16:00:00,334.15,75801008,3,4
2022-04-22 16:00:00,325.4,82562145,4,4
2022-04-25 16:00:00,329.58,101755856,0,4
2022-04-26 16:00:00,317.14,105819629,1,4
2022-04-27 16:00:00,316.76,111204164,2,4
2022-04-28 16:00:00,328.01,99449957,3,4
2022-04-29 16:00:00,313.25,91977859,4,4
2022-05-02 16:00:00,318.48,115511770,0,5
2022-05-03 16:00:00,318.82,78185527,1,5
2022-05-04 16:00:00,329.6,116083395,2,5
2022-05-05 16:00:00,313.0,154607447,3,5
2022-05-06 16:00:00,309.25,139572805,4,5
2022-05-09 16:00:00,297.15,113387342,0,5
2022-05-10 16:00:00,300.76,124124550,1,5
2022-05-11 16:00:00,291.84,140326148,2,5
2022-05-12 16:00:00,291.15,120910850,3,5
2022-05-13 16:00:00,301.94,83684931,4,5
2022-05-16 16:00:00,298.44,59190432,0,5
2022-05-17 16:00:00,306.17,62715293,1,5
2022-05-18 16:00:00,291.14,79477109,2,5
2022-05-19 16:00:00,289.58,79920709,3,5
2022-05-20 16:00:00,288.68,91764174,4,5
2022-05-23 16:00:00,293.48,63648400,0,5
2022-05-24 16:00:00,287.24,73491124,1,5
2022-05-25 16:00:00,291.26,67144548,2,5
2022-05-26 16:00:00,299.33,59462231,3,5
2022-05-27 16:00:00,309.1,66985596,4,5
2022-05-31 16:00:00,308.28,60968330,1,5
2022-06-01 16:00:00,306.0,65341653,2,6
2022-06-02 16:00:00,314.38,59291333,3,6
2022-06-03 16:00:00,306.2,60914684,4,6
2022-06-06 16:00:00,307.22,51785013,0,6
2022-06-07 16:00:00,309.87,44900292,1,6
2022-06-08 16:00:00,307.64,38342062,2,6
2022-06-09 16:00:00,299.4,55900475,3,6
2022-06-10 16:00:00,288.84,85963456,4,6
2022-06-13 16:00:00,275.41,94442009,0,6
2022-06-14 16:00:00,275.91,64697521,1,6
2022-06-15 16:00:00,282.8,86051428,2,6
2022-06-16 16:00:00,271.39,81910297,3,6
2022-06-17 16:00:00,274.69,82703402,4,6
2022-06-21 16:00:00,281.08,51633741,1,6
2022-06-22 16:00:00,280.67,67472924,2,6
2022-06-23 16:00:00,284.85,57457796,3,6
2022-06-24 16:00:00,294.61,58422262,4,6
2022-06-27 16:00:00,292.45,54151452,0,6
2022-06-28 16:00:00,283.54,61867060,1,6
2022-06-29 16:00:00,283.8,57302726,2,6
2022-06-30 16:00:00,280.28,79313580,3,6
2022-07-01 16:00:00,282.13,56675107,4,7
2022-07-05 16:00:00,286.96,61829272,1,7
2022-07-06 16:00:00,288.8,63194715,2,7
2022-07-07 16:00:00,294.98,56620114,3,7
2022-07-08 16:00:00,295.35,59895478,4,7
2022-07-11 16:00:00,289.04,55273920,0,7
2022-07-12 16:00:00,286.24,55797088,1,7
2022-07-13 16:00:00,285.65,73939418,2,7
2022-07-14 16:00:00,286.67,63741837,3,7
2022-07-15 16:00:00,291.87,63818149,4,7
2022-07-18 16:00:00,289.4,59519581,0,7
2022-07-19 16:00:00,298.3,55172640,1,7
2022-07-20 16:00:00,303.03,67769430,2,7
2022-07-21 16:00:00,307.38,55049363,3,7
2022-07-22 16:00:00,301.99,57127715,4,7
2022-07-25 16:00:00,300.27,40582381,0,7
2022-07-26 16:00:00,294.37,50074122,1,7
2022-07-27 16:00:00,306.81,69304364,2,7
2022-07-28 16:00:00,309.81,55139941,3,7
2022-07-29 16:00:00,315.46,57501043,4,7
2022-08-01 16:00:00,315.27,46358833,0,8
2022-08-02 16:00:00,314.33,48676501,1,8
2022-08-03 16:00:00,322.89,53735729,2,8
2022-08-04 16:00:00,324.4,38973659,3,8
2022-08-05 16:00:00,321.75,53893972,4,8
2022-08-08 16:00:00,320.71,44066297,0,8
2022-08-09 16:00:00,317.08,39764220,1,8
2022-08-10 16:00:00,325.93,51459564,2,8
2022-08-11 16:00:00,324.08,45897650,3,8
2022-08-12 16:00:00,330.39,40928379,4,8
